property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,floor_category,price
0.0,101.0,2.0,1.0,0.0,3.0,500.0,0.0,0.0,0.0,0.0,0.3
0.0,91.0,2.0,2.0,4.0,3.0,1465.0,0.0,0.0,0.0,2.0,1.31
1.0,53.0,4.0,4.0,3.0,0.0,1440.0,1.0,0.0,2.0,2.0,3.75
0.0,36.0,3.0,3.0,3.0,3.0,1707.0,0.0,0.0,0.0,0.0,1.49
0.0,87.0,4.0,4.0,3.0,3.0,2000.0,1.0,0.0,0.0,2.0,1.42
0.0,70.0,3.0,3.0,1.0,3.0,1393.0,0.0,0.0,0.0,0.0,1.37
0.0,99.0,1.0,1.0,1.0,3.0,3569.0,0.0,0.0,0.0,0.0,0.19
0.0,35.0,3.0,3.0,3.0,3.0,1564.0,0.0,0.0,0.0,1.0,1.25
0.0,81.0,2.0,2.0,4.0,3.0,1173.0,0.0,0.0,0.0,0.0,0.78
0.0,68.0,2.0,2.0,2.0,1.0,1296.0,0.0,0.0,0.0,1.0,1.3
0.0,46.0,4.0,5.0,4.0,0.0,4124.0,0.0,0.0,2.0,0.0,4.25
0.0,70.0,4.0,4.0,2.0,3.0,1821.0,0.0,0.0,0.0,1.0,1.68
0.0,106.0,2.0,2.0,1.0,3.0,516.0,0.0,0.0,0.0,0.0,0.24
0.0,101.0,2.0,2.0,1.0,3.0,606.0,0.0,0.0,0.0,2.0,0.35
0.0,106.0,3.0,2.0,0.0,4.0,1120.0,0.0,0.0,0.0,1.0,0.9
0.0,36.0,3.0,3.0,2.0,4.0,1450.0,0.0,0.0,0.0,1.0,1.07
0.0,99.0,2.0,2.0,1.0,3.0,888.0,0.0,0.0,0.0,1.0,0.45
0.0,89.0,4.0,4.0,3.0,3.0,2600.0,0.0,0.0,0.0,2.0,2.13
0.0,65.0,3.0,3.0,3.0,4.0,1667.0,0.0,0.0,0.0,0.0,3.0
1.0,17.0,3.0,3.0,3.0,0.0,2250.0,0.0,0.0,0.0,1.0,5.0
0.0,101.0,2.0,2.0,2.0,1.0,473.0,0.0,0.0,0.0,1.0,0.32
0.0,84.0,2.0,2.0,1.0,3.0,586.0,0.0,0.0,0.0,0.0,0.4
0.0,65.0,3.0,3.0,3.0,3.0,1495.0,1.0,0.0,2.0,1.0,2.35
1.0,106.0,1.0,4.0,4.0,2.0,535.0,0.0,0.0,0.0,2.0,1.2
0.0,7.0,3.0,4.0,4.0,3.0,1500.29,1.0,0.0,0.0,0.0,1.7
0.0,80.0,3.0,3.0,3.0,0.0,1853.0,0.0,0.0,0.0,2.0,1.05
0.0,106.0,2.0,2.0,1.0,1.0,743.0,0.0,0.0,0.0,2.0,0.2
1.0,37.0,6.0,6.0,4.0,0.0,1836.0,1.0,0.0,0.0,2.0,3.9
0.0,106.0,2.0,2.0,2.0,3.0,556.0,0.0,0.0,0.0,2.0,0.35
0.0,66.0,3.0,4.0,2.0,3.0,1800.0,1.0,0.0,2.0,0.0,2.1
0.0,91.0,3.0,3.0,3.0,1.0,1653.0,0.0,0.0,0.0,0.0,1.65
0.0,89.0,2.0,2.0,3.0,3.0,1486.0,0.0,0.0,0.0,2.0,1.05
0.0,56.0,3.0,3.0,3.0,0.0,2038.0,0.0,0.0,0.0,2.0,2.5
0.0,70.0,3.0,3.0,2.0,3.0,1457.0,0.0,0.0,0.0,1.0,1.43
0.0,32.0,3.0,2.0,4.0,4.0,1333.0,0.0,0.0,0.0,0.0,1.39
0.0,74.0,3.0,3.0,3.0,3.0,1467.0,0.0,0.0,0.0,0.0,1.1
0.0,28.0,2.0,2.0,4.0,0.0,1050.0,0.0,0.0,2.0,0.0,1.24
0.0,35.0,2.0,3.0,3.0,3.0,1442.0,0.0,0.0,0.0,2.0,0.86
0.0,70.0,2.0,1.0,1.0,3.0,584.0,0.0,0.0,0.0,0.0,0.6
1.0,9.0,2.0,1.0,2.0,2.0,900.0,0.0,0.0,0.0,1.0,1.7
0.0,65.0,3.0,3.0,3.0,3.0,1833.0,1.0,0.0,2.0,2.0,2.35
0.0,55.0,3.0,3.0,2.0,2.0,1920.0,1.0,0.0,2.0,2.0,1.54
1.0,2.0,3.0,5.0,4.0,3.0,3534.0,0.0,0.0,0.0,2.0,2.25
0.0,49.0,3.0,3.0,3.0,0.0,2600.0,1.0,0.0,2.0,2.0,2.92
0.0,97.0,3.0,2.0,3.0,3.0,1241.0,0.0,0.0,0.0,0.0,0.9
1.0,26.0,6.0,7.0,4.0,0.0,1800.0,1.0,0.0,2.0,1.0,6.6
1.0,56.0,3.0,4.0,3.0,0.0,1620.0,1.0,1.0,2.0,1.0,3.75
0.0,55.0,3.0,3.0,4.0,2.0,1900.0,1.0,0.0,0.0,2.0,1.45
0.0,46.0,4.0,5.0,4.0,3.0,4422.0,1.0,0.0,0.0,1.0,11.25
0.0,70.0,3.0,3.0,2.0,3.0,1429.0,0.0,0.0,0.0,1.0,1.7
1.0,18.0,5.0,5.0,2.0,2.0,4518.0,0.0,0.0,0.0,1.0,10.0
0.0,70.0,4.0,4.0,2.0,3.0,1890.0,0.0,0.0,0.0,1.0,2.05
1.0,24.0,8.0,8.0,2.0,0.0,2520.0,1.0,0.0,2.0,2.0,5.5
0.0,1.0,3.0,3.0,3.0,3.0,2353.0,1.0,0.0,2.0,0.0,2.35
1.0,15.0,2.0,4.0,0.0,2.0,675.0,0.0,0.0,0.0,1.0,0.9
0.0,99.0,2.0,2.0,1.0,1.0,695.0,0.0,0.0,2.0,0.0,0.33
0.0,89.0,4.0,4.0,3.0,3.0,2600.0,0.0,0.0,0.0,1.0,2.1
0.0,62.0,4.0,6.0,3.0,3.0,3869.0,1.0,0.0,2.0,2.0,9.2
0.0,36.0,2.0,2.0,3.0,1.0,610.0,0.0,0.0,0.0,2.0,0.55
0.0,84.0,3.0,4.0,4.0,3.0,2409.0,1.0,0.0,2.0,0.0,2.22
0.0,99.0,3.0,3.0,4.0,1.0,1750.0,0.0,0.0,0.0,0.0,0.92
0.0,81.0,2.0,2.0,3.0,3.0,1013.0,0.0,0.0,0.0,2.0,0.96
0.0,3.0,2.0,2.0,2.0,4.0,1404.0,0.0,0.0,0.0,2.0,1.5
0.0,95.0,3.0,3.0,3.0,3.0,1558.0,0.0,0.0,0.0,0.0,1.25
0.0,104.0,2.0,2.0,2.0,1.0,833.0,0.0,0.0,2.0,2.0,1.0
0.0,5.0,3.0,4.0,4.0,3.0,1186.0,1.0,0.0,0.0,0.0,1.13
0.0,90.0,4.0,4.0,4.0,0.0,2039.0,1.0,0.0,2.0,0.0,1.55
0.0,61.0,2.0,2.0,2.0,1.0,1278.0,0.0,0.0,0.0,2.0,1.58
0.0,103.0,3.0,3.0,2.0,4.0,1304.0,0.0,0.0,0.0,2.0,1.3
0.0,5.0,2.0,2.0,3.0,1.0,1200.0,0.0,0.0,2.0,2.0,0.97
1.0,24.0,3.0,3.0,2.0,0.0,2000.0,0.0,1.0,0.0,1.0,2.4
0.0,47.0,3.0,3.0,3.0,3.0,1867.0,0.0,0.0,0.0,1.0,2.45
0.0,36.0,3.0,3.0,4.0,4.0,1725.0,0.0,0.0,0.0,1.0,1.25
0.0,1.0,2.0,2.0,3.0,3.0,1073.0,0.0,0.0,0.0,1.0,1.2
0.0,29.0,2.0,2.0,2.0,4.0,957.0,0.0,0.0,0.0,0.0,1.1
0.0,36.0,3.0,3.0,3.0,4.0,1250.0,0.0,0.0,0.0,2.0,1.0
0.0,8.0,3.0,2.0,4.0,3.0,1478.0,0.0,0.0,0.0,0.0,1.35
0.0,93.0,3.0,3.0,3.0,1.0,1289.0,0.0,0.0,0.0,2.0,1.25
0.0,65.0,2.0,2.0,2.0,3.0,813.0,0.0,0.0,0.0,2.0,1.3
0.0,15.0,3.0,3.0,1.0,1.0,1167.0,0.0,0.0,2.0,1.0,0.65
0.0,42.0,4.0,4.0,2.0,4.0,2667.0,1.0,0.0,2.0,1.0,6.0
0.0,70.0,4.0,4.0,2.0,3.0,1821.0,0.0,0.0,0.0,1.0,1.9
0.0,66.0,3.0,3.0,3.0,3.0,2883.0,1.0,1.0,2.0,0.0,4.6
0.0,49.0,3.0,3.0,4.0,0.0,1830.0,0.0,0.0,2.0,0.0,1.82
1.0,42.0,3.0,9.0,4.0,0.0,1935.0,1.0,0.0,2.0,2.0,5.3
0.0,51.0,4.0,4.0,4.0,1.0,2201.0,0.0,0.0,0.0,0.0,1.76
0.0,52.0,3.0,4.0,4.0,3.0,2500.0,1.0,0.0,2.0,2.0,5.0
0.0,97.0,4.0,3.0,3.0,3.0,2533.0,1.0,0.0,0.0,0.0,1.19
0.0,7.0,2.0,2.0,3.0,3.0,1167.0,1.0,0.0,0.0,2.0,0.97
0.0,21.0,2.0,2.0,3.0,2.0,1418.0,0.0,0.0,0.0,2.0,1.18
0.0,106.0,2.0,2.0,2.0,3.0,762.0,0.0,0.0,0.0,2.0,0.4
0.0,45.0,3.0,4.0,4.0,0.0,1917.0,1.0,0.0,0.0,2.0,2.4
0.0,67.0,3.0,4.0,4.0,0.0,1765.0,1.0,0.0,2.0,0.0,2.32
0.0,97.0,3.0,3.0,3.0,0.0,1571.0,0.0,0.0,0.0,2.0,0.65
0.0,58.0,4.0,4.0,2.0,1.0,2568.0,1.0,0.0,0.0,2.0,6.75
0.0,89.0,2.0,2.0,3.0,3.0,1638.0,0.0,1.0,0.0,2.0,1.09
0.0,14.0,3.0,4.0,3.0,3.0,1930.0,1.0,0.0,0.0,2.0,2.35
0.0,85.0,3.0,5.0,4.0,3.0,2000.0,1.0,0.0,2.0,2.0,1.22
1.0,75.0,5.0,5.0,4.0,3.0,3653.0,1.0,0.0,2.0,0.0,3.09
0.0,3.0,3.0,3.0,3.0,4.0,1366.0,0.0,0.0,2.0,0.0,1.9
0.0,70.0,3.0,3.0,2.0,3.0,1381.0,0.0,0.0,0.0,1.0,1.44
0.0,29.0,2.0,2.0,1.0,3.0,570.0,0.0,0.0,1.0,1.0,0.22
0.0,93.0,2.0,2.0,3.0,1.0,1228.0,0.0,0.0,0.0,1.0,0.88
0.0,89.0,4.0,5.0,4.0,1.0,2017.0,1.0,0.0,2.0,2.0,1.5
0.0,36.0,3.0,3.0,1.0,4.0,1500.0,0.0,0.0,0.0,1.0,1.1
0.0,70.0,3.0,3.0,2.0,3.0,1429.0,0.0,0.0,2.0,0.0,1.36
0.0,105.0,3.0,2.0,4.0,0.0,1696.0,0.0,0.0,0.0,2.0,0.65
1.0,29.0,2.0,2.0,0.0,0.0,130.0,0.0,0.0,0.0,1.0,0.75
1.0,96.0,4.0,4.0,3.0,1.0,2430.0,0.0,0.0,2.0,1.0,3.6
0.0,70.0,3.0,3.0,3.0,4.0,1893.0,0.0,0.0,0.0,0.0,1.8
1.0,49.0,5.0,7.0,4.0,0.0,3240.0,1.0,0.0,2.0,2.0,10.45
0.0,98.0,2.0,2.0,0.0,3.0,730.0,0.0,0.0,0.0,1.0,0.4
1.0,27.0,4.0,4.0,3.0,0.0,1800.0,1.0,0.0,0.0,1.0,5.5
0.0,26.0,4.0,4.0,3.0,2.0,2744.0,1.0,0.0,0.0,1.0,3.4
0.0,66.0,4.0,4.0,3.0,3.0,2504.0,1.0,0.0,0.0,2.0,2.7
0.0,97.0,4.0,5.0,4.0,3.0,1807.0,1.0,0.0,0.0,2.0,0.9
0.0,89.0,4.0,4.0,4.0,1.0,3154.0,0.0,0.0,0.0,0.0,2.7
0.0,18.0,4.0,3.0,3.0,2.0,1444.0,0.0,0.0,2.0,2.0,1.4
0.0,12.0,3.0,3.0,2.0,3.0,1540.0,0.0,0.0,0.0,0.0,2.25
0.0,106.0,2.0,2.0,0.0,3.0,1081.0,0.0,0.0,0.0,1.0,0.75
0.0,73.0,3.0,4.0,3.0,3.0,2129.0,1.0,0.0,0.0,2.0,2.52
0.0,97.0,4.0,5.0,4.0,0.0,1895.0,0.0,0.0,2.0,0.0,0.92
0.0,80.0,4.0,4.0,3.0,3.0,2300.0,1.0,0.0,0.0,1.0,1.25
0.0,65.0,4.0,4.0,3.0,3.0,1650.0,0.0,0.0,2.0,1.0,2.8
0.0,2.0,3.0,3.0,4.0,1.0,1465.0,0.0,0.0,0.0,1.0,1.25
0.0,72.0,3.0,4.0,2.0,3.0,1950.0,1.0,0.0,0.0,0.0,1.75
0.0,29.0,2.0,2.0,3.0,4.0,1308.0,0.0,0.0,0.0,1.0,1.2
0.0,106.0,2.0,2.0,2.0,1.0,522.0,0.0,0.0,0.0,0.0,0.35
0.0,28.0,3.0,3.0,2.0,2.0,1700.0,1.0,0.0,0.0,0.0,2.25
0.0,42.0,3.0,3.0,2.0,2.0,1467.0,1.0,0.0,1.0,1.0,2.0
0.0,12.0,4.0,4.0,4.0,4.0,3056.0,0.0,0.0,0.0,2.0,4.67
0.0,95.0,2.0,2.0,3.0,0.0,1223.0,0.0,0.0,2.0,2.0,0.65
0.0,73.0,3.0,3.0,4.0,1.0,1900.0,1.0,0.0,0.0,2.0,1.69
0.0,106.0,2.0,2.0,2.0,3.0,711.0,0.0,0.0,0.0,2.0,0.3
0.0,25.0,3.0,4.0,4.0,2.0,3203.0,1.0,1.0,2.0,2.0,4.25
0.0,62.0,5.0,7.0,3.0,3.0,4995.0,1.0,0.0,2.0,2.0,10.75
0.0,72.0,2.0,2.0,3.0,3.0,1223.0,0.0,0.0,0.0,2.0,1.25
0.0,8.0,4.0,4.0,3.0,3.0,2767.0,1.0,0.0,0.0,2.0,1.9
0.0,95.0,2.0,2.0,2.0,4.0,796.0,0.0,0.0,0.0,1.0,0.5
0.0,32.0,2.0,2.0,4.0,4.0,1253.0,0.0,0.0,0.0,2.0,1.27
0.0,91.0,3.0,2.0,4.0,3.0,1465.0,0.0,0.0,1.0,2.0,1.62
0.0,3.0,2.0,2.0,1.0,3.0,515.0,0.0,0.0,0.0,0.0,0.4
0.0,7.0,2.0,3.0,3.0,3.0,978.23,1.0,0.0,2.0,1.0,0.87
0.0,3.0,3.0,2.0,2.0,4.0,696.0,0.0,0.0,0.0,2.0,0.49
0.0,14.0,3.0,3.0,4.0,1.0,2008.0,1.0,0.0,0.0,2.0,2.85
1.0,29.0,3.0,1.0,0.0,0.0,1008.0,0.0,0.0,0.0,1.0,0.9
0.0,81.0,2.0,2.0,0.0,4.0,1295.0,0.0,0.0,0.0,2.0,0.71
0.0,61.0,3.0,2.0,3.0,4.0,1535.0,0.0,0.0,0.0,2.0,2.1
0.0,55.0,3.0,3.0,3.0,0.0,2200.0,0.0,0.0,0.0,2.0,1.7
0.0,89.0,3.0,4.0,2.0,3.0,1650.0,1.0,0.0,0.0,2.0,1.2
0.0,106.0,2.0,2.0,1.0,1.0,669.0,0.0,0.0,2.0,1.0,0.4
0.0,99.0,2.0,2.0,0.0,1.0,758.0,0.0,0.0,0.0,1.0,0.27
0.0,23.0,3.0,4.0,4.0,1.0,2519.0,0.0,0.0,0.0,1.0,3.2
1.0,29.0,2.0,1.0,0.0,0.0,1100.0,0.0,0.0,0.0,1.0,0.55
0.0,74.0,2.0,2.0,2.0,0.0,1085.0,0.0,0.0,2.0,2.0,0.95
0.0,75.0,4.0,5.0,2.0,0.0,2631.0,1.0,0.0,0.0,2.0,4.0
1.0,21.0,4.0,4.0,4.0,0.0,2400.0,1.0,0.0,0.0,1.0,4.0
0.0,1.0,2.0,2.0,2.0,1.0,1146.0,0.0,0.0,0.0,0.0,1.99
0.0,15.0,4.0,3.0,3.0,2.0,3150.0,0.0,0.0,0.0,2.0,2.7
0.0,106.0,2.0,2.0,1.0,3.0,744.000768,0.0,0.0,0.0,2.0,0.32
0.0,61.0,3.0,4.0,4.0,4.0,2250.0,1.0,0.0,0.0,0.0,3.87
1.0,32.0,5.0,5.0,4.0,1.0,4770.0,1.0,1.0,2.0,2.0,8.5
1.0,29.0,4.0,1.0,0.0,0.0,603.0,0.0,0.0,0.0,1.0,0.92
0.0,55.0,4.0,3.0,4.0,2.0,1900.0,0.0,0.0,2.0,2.0,1.59
0.0,63.0,4.0,4.0,4.0,4.0,3950.0,0.0,0.0,0.0,0.0,7.9
0.0,89.0,2.0,2.0,4.0,3.0,1491.0,0.0,1.0,0.0,2.0,1.3
1.0,19.0,2.0,6.0,4.0,2.0,1440.0,0.0,0.0,0.0,2.0,3.5
0.0,89.0,3.0,3.0,4.0,4.0,2032.0,0.0,0.0,0.0,0.0,1.83
1.0,49.0,5.0,6.0,0.0,0.0,3000.0,0.0,0.0,0.0,1.0,6.5
0.0,21.0,3.0,3.0,4.0,0.0,1612.0,0.0,0.0,0.0,2.0,1.36
0.0,6.0,2.0,2.0,1.0,3.0,495.0,0.0,0.0,0.0,0.0,0.5
0.0,46.0,3.0,4.0,4.0,0.0,2575.0,0.0,0.0,0.0,2.0,2.75
0.0,89.0,3.0,4.0,3.0,3.0,2181.0,1.0,0.0,2.0,1.0,1.85
0.0,88.0,3.0,3.0,3.0,3.0,1834.0,0.0,0.0,0.0,2.0,0.89
1.0,10.0,5.0,4.0,3.0,2.0,1850.0,0.0,1.0,0.0,1.0,2.5
0.0,3.0,4.0,4.0,4.0,3.0,2899.0,1.0,0.0,2.0,0.0,2.65
0.0,81.0,2.0,2.0,4.0,1.0,1281.0,0.0,0.0,0.0,0.0,0.71
1.0,26.0,3.0,9.0,4.0,2.0,1935.0,1.0,1.0,2.0,2.0,6.5
1.0,56.0,3.0,3.0,2.0,2.0,2160.0,1.0,0.0,0.0,1.0,4.7
0.0,65.0,3.0,3.0,3.0,4.0,1656.0,0.0,0.0,0.0,0.0,2.5
0.0,21.0,2.0,2.0,2.0,3.0,800.0,0.0,0.0,0.0,2.0,0.35
1.0,39.0,2.0,1.0,1.0,0.0,624.0,0.0,1.0,0.0,1.0,0.47
0.0,21.0,1.0,1.0,1.0,0.0,450.0,0.0,0.0,2.0,2.0,0.4
1.0,49.0,4.0,4.0,4.0,2.0,2160.0,1.0,0.0,0.0,1.0,6.8
1.0,43.0,3.0,9.0,4.0,0.0,1836.0,0.0,0.0,2.0,2.0,4.49
1.0,46.0,4.0,5.0,4.0,0.0,4000.0,1.0,0.0,2.0,1.0,8.4
0.0,63.0,3.0,4.0,4.0,0.0,1555.0,0.0,0.0,2.0,2.0,2.2
0.0,106.0,2.0,2.0,3.0,4.0,1132.0,0.0,0.0,0.0,2.0,0.95
0.0,1.0,2.0,2.0,2.0,3.0,829.0,0.0,0.0,0.0,2.0,0.96
0.0,87.0,2.0,2.0,2.0,3.0,850.0,0.0,0.0,2.0,2.0,0.78
0.0,39.0,2.0,2.0,1.0,3.0,944.0,0.0,0.0,0.0,1.0,0.45
0.0,105.0,3.0,3.0,4.0,0.0,2944.0,1.0,0.0,0.0,2.0,1.2
1.0,73.0,4.0,4.0,4.0,1.0,2610.0,0.0,0.0,0.0,2.0,4.7
0.0,84.0,3.0,2.0,4.0,3.0,1353.0,0.0,0.0,0.0,0.0,1.15
1.0,27.0,4.0,4.0,3.0,2.0,1265.0,0.0,0.0,0.0,2.0,4.45
0.0,6.0,2.0,2.0,2.0,3.0,543.0,0.0,0.0,0.0,0.0,0.28
1.0,27.0,3.0,5.0,4.0,2.0,1800.0,0.0,0.0,2.0,2.0,6.0
1.0,40.0,3.0,3.0,2.0,0.0,900.0,0.0,0.0,2.0,2.0,2.1
0.0,72.0,3.0,5.0,3.0,3.0,1528.0,1.0,0.0,0.0,2.0,1.64
0.0,81.0,2.0,2.0,4.0,3.0,1494.0,0.0,0.0,0.0,2.0,1.45
1.0,39.0,2.0,3.0,0.0,0.0,160.0,0.0,0.0,0.0,1.0,1.25
1.0,94.0,2.0,3.0,0.0,2.0,900.0,0.0,0.0,0.0,2.0,1.65
0.0,89.0,2.0,2.0,4.0,3.0,1381.0,0.0,1.0,0.0,0.0,1.15
0.0,47.0,5.0,6.0,4.0,3.0,3222.0,1.0,0.0,0.0,0.0,4.21
1.0,37.0,3.0,3.0,2.0,3.0,1440.0,0.0,0.0,0.0,1.0,3.5
0.0,65.0,4.0,4.0,3.0,3.0,1975.0,1.0,0.0,2.0,2.0,3.5
0.0,89.0,2.0,2.0,2.0,3.0,1934.0,0.0,0.0,2.0,0.0,1.25
1.0,21.0,4.0,4.0,4.0,2.0,1845.0,0.0,0.0,0.0,1.0,2.95
0.0,90.0,2.0,2.0,1.0,1.0,1300.0,0.0,0.0,0.0,0.0,0.82
0.0,55.0,3.0,3.0,4.0,0.0,1721.0,0.0,0.0,2.0,1.0,1.45
0.0,88.0,2.0,2.0,0.0,3.0,550.0,0.0,0.0,0.0,2.0,0.39
0.0,89.0,2.0,2.0,3.0,4.0,1131.0,0.0,0.0,0.0,0.0,1.3
1.0,29.0,4.0,2.0,2.0,2.0,1170.0,0.0,0.0,0.0,1.0,0.75
0.0,75.0,4.0,5.0,4.0,3.0,2625.0,1.0,0.0,0.0,2.0,3.5
0.0,106.0,2.0,2.0,2.0,1.0,564.0,0.0,0.0,0.0,1.0,0.42
0.0,79.0,3.0,3.0,4.0,1.0,1452.0,0.0,1.0,2.0,2.0,1.35
1.0,26.0,6.0,5.0,2.0,3.0,6000.0,0.0,0.0,0.0,2.0,16.0
0.0,71.0,3.0,2.0,1.0,3.0,1100.0,0.0,0.0,2.0,2.0,0.8
0.0,8.0,3.0,3.0,4.0,3.0,2001.0,0.0,0.0,0.0,2.0,1.8
0.0,63.0,3.0,3.0,4.0,1.0,2034.0,0.0,0.0,2.0,2.0,3.35
0.0,9.0,2.0,3.0,2.0,1.0,1389.0,0.0,0.0,0.0,2.0,0.8
0.0,81.0,2.0,2.0,3.0,3.0,1253.0,0.0,0.0,0.0,2.0,1.18
0.0,55.0,1.0,1.0,1.0,2.0,672.0,0.0,0.0,0.0,1.0,0.58
1.0,94.0,3.0,6.0,4.0,2.0,1431.0,0.0,0.0,0.0,2.0,1.25
0.0,106.0,2.0,2.0,2.0,3.0,619.0,0.0,0.0,0.0,2.0,0.27
