property_name,property_type,link,sector,society,price,price_per_sqft,bedRoom,bathroom,balcony,additionalRoom,floorNum,agePossession,description,property_id,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type
2 BHK Flat in Sector 99A Gurgaon,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-99-a-gurgaon-450-sq-ft-r1-spid-O66187314,sector 99a,laxmi pareena,0.3,6667.0,2.0,1.0,0,not available,12.0,Relatively New,"2bhk affordable, ready to shift in sec 99a laxmi pareena sector 99a, gurgaon, haryana, india",O66187314,500.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK Flat in Sector 88A Gurgaon,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-godrej-icon-sector-88-a-gurgaon-1617-sq-ft-spid-S69145532,sector 88a,godrej icon,1.31,8101.0,2.0,2.0,3+,study room,3.0,Relatively New,"This lovely 2 bhk apartment/flat in sector 88a gurgaon is available for sale in one of gurgaon's most popular projects, godrej icon. This property faces the north-East direction. The flat is over 1617 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and more than 3 balconies. This flat is situated on the 3rd floor of this 32 floors tall residential building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The flat comes well built with vitrified flooring options. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, shopping centre, club house / community center, fitness centre / gym, park, lift(s), visitor parking, maintenance staff and water softening plant. The housing society ensures a continuous supply of water to your flat from municipal corporation.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",S69145532,1465.0,1.0,0.0,0.0,0.0,0.0,0.0
4 Bedroom House for sale in Sector 54 Gurgaon,house,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-54-gurgaon-160-sq-ft-r6-spid-B59842588,sector 54,independent,3.75,26042.0,4.0,4.0,3,servant room,3.0,Moderately Old,"East facing old house ready to move in f block suncity, gurugram",B59842588,1440.0,0.0,1.0,0.0,0.0,0.0,2.0
3 BHK Flat in Sector 37D Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bptp-terra-sector-37-d-gurgaon-1832-sq-ft-spid-H70022084,sector 37d,bptp terra,1.49,8107.0,3.0,3.0,3,others,20.0,Relatively New,"Located in the popular residential address of sector 37d gurgaon, bptp terra is one of the most preferred destination for apartments in gurgaon. This 3 bhk flat is your ticket to be a part of this community. The flat occupies a super built up area of 1832 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. This flat lies on the 20th level of a 23 storey building. This 1-5 years old property is available for immediate possession as the project is ready to move.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Partial power backup is available.
The society has dedicated security guards for every tower.",H70022084,1707.0,0.0,0.0,0.0,0.0,1.0,0.0
4 BHK Flat in Sector 83 Gurgaon,flat,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-vatika-gurgaon-21-sector-83-gurgaon-2390-sq-ft-r1-spid-V65295042,sector 83,vatika gurgaon,1.42,8875.0,4.0,4.0,3,"study room,servant room",7.0,Relatively New,"This is a 4 bhk row flat the flat occupies a super built-Up area of 2390 sq.Ft. That consists of 4 bedrooms, 4 bathrooms and 3 balconies. The residential building has 14 floors total, this is a ready-To-Move project; The property is around 8 years old. The beautifully designed vitrified & wooden flooring.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",V65295042,2000.0,1.0,1.0,0.0,0.0,0.0,0.0
3 BHK Flat in Sector 69 Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tulip-violet-sector-69-gurgaon-1538-sq-ft-spid-B69407016,sector 69,tulip violet,1.37,8908.0,3.0,3.0,1,not available,12.0,Relatively New,"Park facing corner unit tulip violet is one of the most popular destination for buying apartments/ flats in sector 69 gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. Containing 3 bedroom(s), 3 bathrooms and 1 balcony, this flat is spread over a super built up area of 1538 sq.Ft. The residential building has 14 floors in total and the flat for sale is located on the 12th floor. This 0-1 year old property is available for immediate possession as the project is ready to move. The society is well equipped with many modern amenities, including swimming pool, cctv surveillance, club house / community center, fitness centre / gym, park and lift(s).
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Partial power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",B69407016,1393.0,0.0,0.0,0.0,0.0,0.0,0.0
1 BHK Flat in Sector 95 Gurgaon,flat,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-ramsons-kshitij-sector-95-gurgaon-3212-sq-ft-spid-T70043008,sector 95,ramsons kshitij,0.19,591.0,1.0,1.0,1,not available,14.0,Relatively New,"It's a 1 bhk furnished flat top floor, serene view and calm society
Already rented out 9300 per month rental income
Well connected to manesar, nh 8 highway, vatika, market , schools nearby
Good for investment purpose anytime",T70043008,3569.0,0.0,0.0,0.0,0.0,0.0,0.0
3 BHK Flat in Sector 37C Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-corona-optus-sector-37-c-gurgaon-1735-sq-ft-spid-X70044746,sector 37c,corona optus,1.25,7176.0,3.0,3.0,3,study room,2.0,Relatively New,"This 3 bhk apartment is available for sale in corona optus, one of the most prominent projects for flats in sector 37c gurgaon. Containing 3 bedroom(s), 3 bathrooms and 3 balconies, this flat is spread over a super built up area of 1735 sq.Ft. The flat has a total of 10 floors and this property is situated on 2nd floor. This is a ready to move project and the property is 1-5 years old.
 Additional details :Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",X70044746,1564.0,1.0,0.0,0.0,0.0,0.0,0.0
2 BHK Flat in Sector 79 Gurgaon,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-79-gurgaon-1295-sq-ft-r1-spid-Q56812416,sector 79,supertech araville,0.78,6023.0,2.0,2.0,3+,not available,17.0,Relatively New,Residential apartment for sell.The property comes with a good construction quality which ages 1-5 years old propertylocated in sector-79 gurgaon.It is a semifurnished property.The property has 2 bedrooms with 2 bathrooms .Available at an expected price of rs 7800000.Located on 17th floor out of the 17.,Q56812416,1173.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK Flat in Sector 67A Gurgaon,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ireo-the-corridors-sector-67-a-gurgaon-1296-sq-ft-spid-K69999718,sector 67a,ireo the corridors,1.3,10031.0,2.0,2.0,2,not available,1.0,New Property,Best in class property available at sector 67a location in gurgaon,K69999718,1296.0,0.0,0.0,0.0,0.0,0.0,0.0
